id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34736,64,Bobbie's Cafe,4.8,32,"Burgers, American, Sandwiches, Tacos",,29.35427,-98.48965,6728 S Flores St, San Antonio, TX,78221
34738,51,Wild Burger (8450 N I-35),4.5,20,Burgers,$$,29.51405,-98.39627,8450 N Interstate 35, San Antonio, TX,78239
34739,53,Wendy's (9503 Middlex Drive),4.6,200,"Burgers, American, Fast Food, Chicken",$,29.52738,-98.45941,9503 Middlex Drive, San Antonio, TX,78217
34740,50,Chicago Philly Eats,4.8,25,"Burgers, American, Sandwiches",,29.55438,-98.50012,441 West Nakoma Drive, San Antonio, TX,78216
34741,44,U.S.A. Donuts,4.6,48,"Bakery, Comfort Food, American",$,29.3986634,-98.402362,4535 Rigsby Ave Ste 105, San Antonio, TX,78220
34742,37,Tycoon Flats,4.5,61,"Burgers, Wings, New American",,29.45227,-98.48495,2926 North Saint Marys Street, San Antonio, TX,78212
34743,32,Donut Palace (1583 Thousand Oaks),4.7,81,"Bakery, Dount, Coffee and Tea",$,29.59247,-98.46758,1583 Thousand Oaks Drive, San Antonio, TX,78232
34744,29,Los Gueros Tacos,4.8,141,Mexican,$,29.6277216,-98.493365,20323 Huebner Rd, San Antonio, TX,78258
34745,23,Schlotzsky's Deli (Perrin Beitel Rd),4.8,124,"Salads, Sandwich, Deli, Desserts, Healthy, Family Meals",$,29.5176727,-98.410458,8534 Perrin-Beitel Road, San Antonio, TX,78217
34746,21,The Art of Donut,4.8,73,Desserts,$,29.4564326,-98.4793261,3428 N St Mary's St, San Antonio, TX,78212
34747,5,American Grilled Cheese Company (3619 N PanAm Expy),,,"American, Deli, Sandwich",$$,29.44859,-98.42718,3619 N PanAm Expy, San Antonio, TX,78219
34748,20,Kneaders Bakery &amp; Cafe,4.9,86,"Pastry, Sandwich, Salads, Healthy",$$,29.6427714,-98.4904693,21639 Hardy Oak Boulevard, San Antonio, TX,78258
34749,51,Hon Machi Japanese Korean BBQ (Blanco Rd),,,"Japanese, Korean, Asian, Family Meals",,29.621195,-98.512326,19186 Blanco Rd, San Antonio, TX,78258
34750,205,China Sea Restaurant,,,Chinese,$$,29.5511515,-98.410122,4300 Thousand Oaks, San Antonio, TX,78217
34751,203,Chas Market &amp; Kitchen,,,"Korean, Mexican, Traditional American",$$,29.4376208,-98.4704988,1431 N Pine St, San Antonio, TX,78208
34752,202,Thai Lao Orchid at Babcock Rd,,,"Vietnamese, Noodles, Healthy",$,29.51593,-98.59458,5440 Babcock Rd, San Antonio, TX,78240
34753,197,Sichuan House,4.9,26,"Asian Fusion, Asian, Korean",,29.47171,-98.6234,3505 Wurzbach Rd Ste 102, San Antonio, TX,78238
34754,194,Sukeban,,,"Japanese, Sushi, Asian Fusion",$$,29.4097859,-98.4957333,1420 S Alamo St, San Antonio, TX,78210
34755,190,Side Wok Cafe,,,"Chinese, Asian, Asian Fusion",$,29.4231731,-98.4851382,849 E Commerce St #155, San Antonio, TX,78205
34756,189,Hero's Ramen X Sushi,,,"Japanese, Asian, Sushi",$,29.56469,-98.48917,13444 West Ave, San Antonio, TX,78216
34757,188,Aroy ver thai bite,,,"Thai, Asian, Noodles",,29.44634,-98.47505,2202 Broadway Street, San Antonio, TX,78215
34758,187,Thai Lucky sushi bar,,,"Asian, Asian Fusion, Korean",$,29.4212377,-98.4906976,102 Navarro St, San Antonio, TX,78205
34760,185,Wok on Wheels (Bulverde),,,"Chinese, Asian",$,29.6487242,-98.4253701,22250 Bulverde Rd, San Antonio, TX,78261
34761,182,5 Tara Indian Buffet,,,"Indian, Vegetarian, Asian, Salads",,29.49685,-98.55707,4841 Fredericksburg Road, San Antonio, TX,78229
